SNP	Chromosome	Position	trait1	N1	N2	Rawposition
SAUSA300_2192	18	145296	8.51749092089837e-15	rplE	50S ribosomal protein L5	2364918
SAUSA300_1545	13	130362	5.99792503699153e-14	rpsT	30S ribosomal protein S20	1697154
SAUSA300_1079	9	136988	1.3029927455958e-12	ftsA	cell division protein ftsA	1181516
SAUSA300_1123	9	185993	3.23187886154574e-12	fabD	malonyl CoA-acyl carrier protein transacylase	1230521
SAUSA300_0777	7	84062	8.90913976766796e-11	-	cold shock protein	867458
SAUSA300_0618	5	169247	1.3132239204388e-10	-	ABC transporter substrate-binding protein	691511
SAUSA300_2183	18	140577	2.50884219435046e-10	adk	adenylate kinase	2360199
SAUSA300_1251	11	70909	3.12243382634554e-10	parC	DNA topoisomerase IV subunit A	1376569
SAUSA300_2082	17	156027	4.79419390344215e-10	rpoE	DNA-directed RNA polymerase subunit delta	2245083
SAUSA300_2172	18	133331	8.90954774309382e-10	rplM	50S ribosomal protein L13	2352953
SAUSA300_1119	9	181058	9.1108915305602e-10	-	hypothetical protein	1225586
SAUSA300_1017	9	70747	1.05807248520298e-09	-	hypothetical protein	1115275
SAUSA300_1147	10	84532	1.77357918203974e-09	hslU	ATP-dependent protease ATP-binding subunit HslU	1259626
SAUSA300_1448	12	165146	2.11507123231741e-09	-	FUR family transcriptional regulator	1601372
SAUSA300_0367	3	158461	2.61433987396669e-09	ssb	single-strand binding protein	419593
SAUSA300_1730	15	85954	3.51482836715242e-09	metK	S-adenosylmethionine synthetase	1913878
SAUSA300_1700	14	177097	3.63077979702249e-09	-	polysaccharide biosynthesis protein	1874455
SAUSA300_1540	13	122619	3.67275808286798e-09	dnaK	molecular chaperone DnaK	1689411
SAUSA300_0672	6	93493	4.06952233854349e-09	-	MarR family transcriptional regulator	746323
SAUSA300_2171	18	132919	4.12624007656694e-09	rpsI	30S ribosomal protein S9	2352541
SAUSA300_1101	9	160297	4.32723137002983e-09	-	putative fibronectin/fibrinogen binding protein	1204825
SAUSA300_1150	10	87502	4.40571837631271e-09	tsf	elongation factor Ts	1262596
SAUSA300_0955	8	130257	5.20282977135804e-09	atl	autolysin	1044219
SAUSA300_1783	15	137192	6.29556270381514e-09	hemE	uroporphyrinogen decarboxylase	1965116
SAUSA300_0716	6	143409	6.40956770075216e-09	-	ribonucleotide-diphosphate reductase subunit alpha	796239
SAUSA300_1201	10	149024	7.5665858299687e-09	glnA	glutamine synthetase- type I	1324118
SAUSA300_2198	18	147538	9.01844651062836e-09	rpsC	30S ribosomal protein S3	2367160
