SNP	Chromosome	Position	trait1	N1	N2	Rawposition
SAUSA300_1193	10	141484	0.000405734703810585	glpD	aerobic glycerol-3-phosphate dehydrogenase	1316578
SAUSA300_0139	1	159143	0.000475519779228094	-	putative tetracycline resistance protein	159143
SAUSA300_0220	2	132262	0.000796658286737874	pflB	formate acetyltransferase	262828
SAUSA300_1697	14	173807	0.000877849463886136	-	dipeptidase PepV	1871165
SAUSA300_0264	2	185293	0.00128973689639879	-	ribose transporter RbsU	315859
SAUSA300_0221	2	133040	0.00316388278508671	pflA	pyruvate formate-lyase activating enzyme	263606
SAUSA300_1844	15	177039	0.00440987165887865	-	bacterioferritin comigratory protein	2004963
SAUSA300_0308	3	98444	0.00443554855453784	-	ABC transporter permease	359576
SAUSA300_1648	14	112417	0.00540438794268874	-	putative NADP-dependent malic enzyme	1809775
SAUSA300_2641	22	123753	0.00663758239807798	-	hypothetical protein	2865639
SAUSA300_2333	19	158181	0.00718569836208578	narK	nitrite extrusion protein	2508369
SAUSA300_0151	1	173816	0.00916007701675135	adhE	bifunctional acetaldehyde-CoA/alcohol dehydrogenase	173816
SAUSA300_0446	4	111684	0.00946182348995849	gltD	glutamate synthase subunit beta	503382
SAUSA300_1146	10	83063	0.0112250242385145	hslV	ATP-dependent protease peptidase subunit	1258157
SAUSA300_2319	19	142602	0.0178653549371748	-	pyridine nucleotide-disulfide oxidoreductase	2492790
SAUSA300_0194	2	96815	0.0197975637906615	-	sucrose-specific PTS transporter protein	227381
SAUSA300_0758	6	193739	0.0201480740774626	tpiA	triosephosphate isomerase	846569
SAUSA300_1331	11	186850	0.0204308964803548	ald	alanine dehydrogenase	1492510
SAUSA300_2567	21	166872	0.0248718804694676	arcC	carbamate kinase	2778192
SAUSA300_1049	9	104548	0.0273434253147364	murI	glutamate racemase	1149076
SAUSA300_1070	9	125123	0.0294865039370634	-	hypothetical protein	1169651
SAUSA300_0274	2	195603	0.0307684605604858	-	hypothetical protein	326169
SAUSA300_2534	21	123579	0.0314920857724517	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase	2734899
SAUSA300_2646	22	128567	0.0326235736566626	trmE	tRNA modification GTPase TrmE	2870453
SAUSA300_2106	17	187330	0.0350893000964234	-	putative transcriptional regulator	2276386
SAUSA300_1014	9	67859	0.0368538589560978	pyc	pyruvate carboxylase	1112387
SAUSA300_2569	21	169351	0.0375432050538377	arcB	ornithine carbamoyltransferase	2780671
SAUSA300_0126	1	145681	0.0377965314113971	-	hypothetical protein	145681
SAUSA300_0387	3	177186	0.0394984958056468	pbuX	xanthine permease	438318
SAUSA300_0073	1	81947	0.0395501591370904	-	peptide ABC transporter peptide-binding protein	81947
SAUSA300_0473	4	140834	0.0396170798490835	purR	pur operon repressor	532532
SAUSA300_2090	17	165210	0.0405804100809427	deoC	deoxyribose-phosphate aldolase	2254266
SAUSA300_2627	22	112270	0.0418285920746455	-	2-oxoglutarate/malate translocator	2854156
SAUSA300_2404	20	107681	0.0421372751346121	-	hypothetical protein	2588435
SAUSA300_0099	1	109979	0.0450478105874598	plc	1-phosphatidylinositol phosphodiesterase	109979
SAUSA300_1063	9	119006	0.0490625664482271	arcC	carbamate kinase	1163534
SAUSA300_0508	4	175911	0.0506910262226907	-	hypothetical protein	567609
SAUSA300_1476	12	193897	0.0518116156009707	accB	acetyl-CoA carboxylase- biotin carboxyl carrier protein	1630123
SAUSA300_1064	9	120734	0.0525303081618182	-	TRAP family protein	1165262
SAUSA300_1688	14	166086	0.0583774278853312	-	phenylalanyl-tRNA synthetase -beta subunit-	1863444
SAUSA300_0460	4	129416	0.058829270110021	-	hypothetical protein	521114
SAUSA300_1386	12	114499	0.0633827822154319	-	phiETA ORF59-like protein	1550725
SAUSA300_2043	17	118939	0.0633828052458706	-	hypothetical protein	2207995
